Time,Channel A
(ms),(mV)

-107.07980219,168.05020000
-107.05932219,159.35240000
-107.03884219,150.65460000
-107.01836219,137.62320000
-106.99788219,128.92540000
-106.97740219,120.22770000
-106.95692219,120.22770000
-106.93644219,111.52990000
-106.91596219,111.52990000
-106.89548219,115.87880000
-106.87500219,120.22770000
-106.85452219,128.92540000
-106.83404219,137.62320000
-106.81356219,146.30570000
-106.79308219,155.00350000
-106.77260219,163.70130000
-106.75212219,172.39900000
-106.73164219,176.74790000
-106.71116219,181.09680000
-106.69068219,176.74790000
-106.67020219,172.39900000
-106.64972219,168.05020000
-106.62924219,159.35240000
-106.60876219,150.65460000
-106.58828219,141.95680000
-106.56780220,128.92540000
-106.54732220,120.22770000
-106.52684220,115.87880000
-106.50636220,111.52990000
-106.48588220,111.52990000
-106.46540220,115.87880000
-106.44492220,115.87880000
-106.42444220,120.22770000
-106.40396220,133.27430000
-106.38348220,141.95680000
-106.36300220,150.65460000
-106.34252220,159.35240000
-106.32204220,168.05020000
-106.30156220,176.74790000
-106.28108220,176.74790000
-106.26060220,181.09680000
-106.24012220,176.74790000
-106.21964220,172.39900000
-106.19916220,172.39900000
-106.17868220,159.35240000
-106.15820220,150.65460000
-106.13772220,141.95680000
-106.11724220,128.92540000
-106.09676220,124.57650000
-106.07628220,115.87880000
-106.05580220,111.52990000
-106.03532220,107.18100000
-106.01484220,111.52990000
-105.99436220,115.87880000
-105.97388220,120.22770000
-105.95340220,128.92540000
-105.93292220,137.62320000
-105.91244220,150.65460000
-105.89196220,155.00350000
-105.87148220,163.70130000
-105.85100220,172.39900000
-105.83052220,176.74790000
-105.81004220,181.09680000
-105.78956220,181.09680000
-105.76908220,176.74790000
-105.74860220,172.39900000
-105.72812220,168.05020000
-105.70764220,159.35240000
-105.68716220,150.65460000
-105.66668220,137.62320000
-105.64620220,133.27430000
-105.62572220,120.22770000
-105.60524220,115.87880000
-105.58476220,111.52990000
-105.56428220,107.18100000
-105.54380220,111.52990000
-105.52332220,115.87880000
-105.50284220,115.87880000
-105.48236220,124.57650000
-105.46188220,137.62320000
-105.44140220,141.95680000
-105.42092220,155.00350000
-105.40044220,163.70130000
-105.37996220,172.39900000
-105.35948220,176.74790000
-105.33900220,176.74790000
-105.31852220,181.09680000
-105.29804220,181.09680000
-105.27756220,176.74790000
-105.25708220,172.39900000
-105.23660220,163.70130000
-105.21612220,155.00350000
-105.19564220,146.30570000
